name,team,pos,adp
Max Strus,LAC,SF PF,
Ja'Kobe Walter,TOR,PG SG,
Jake LaRavia,LAL,SF PF,
Kris Dunn,LAC,PG SG,
Danny Wolf,BKN,PF C,
Jarace Walker,IND,SF PF,
Royce O'Neale,CHA,SF PF,
Jaylen Wells,MEM,SG SF,
Leonard Miller,CHI,SF PF,
Derrick Jones Jr.,LAC,SF PF,
Justin Champagnie,WAS,SF PF,
Tristan da Silva,ORL,SF PF,
Baylor Scheierman,BOS,SG SF,
Jamal Shead,TOR,PG,
